COVERAGE,YEAR,MONTH,DATE,PRODUCT_GROUP,PRODUCT,MEASUREMENT_UNIT,VOLUME,VALUE,INDEX,STATUS
National,2001,February,01/02/2001,Non-Metallic Minerals,Dolomite,Tons,57738,11489.763,56.147,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Fluorite,Tons,62716,67452.869,71.157,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Kaolin,Tons,7802,5732.186,110.027,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Silica Sand,Tons,148195,32109.698,63.99,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Gypsum,Tons,302607,38068.472,70.714,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Phosphate Rock,Tons,85040,31097.886,105.302,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Wollastonite,Tons,939,1832.117,24.054,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Celestite,Tons,13230,6944.956,535.971,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Feldspar,Tons,25502,11365.3,68.689,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Salt,Tons,659244,73828.736,89.808,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Diatomite,Tons,4833,8630.771,45.12,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Sodium Sulfate,Tons,35000,26894,67.961,Final Figures.
National,2001,February,01/02/2001,Non-Metallic Minerals,Magnesium Sulfate,Tons,809,701.25,22.549,Final Figures.
National,2001,March,01/03/2001,Precious Metals,Gold,Kilograms,1137.2,92727.111,27.09,Final Figures.
National,2001,March,01/03/2001,Precious Metals,Silver,Kilograms,212411,289823.072,95.536,Final Figures.
National,2001,March,01/03/2001,Non-Ferrous Industrial Metals,Lead,Tons,11194,53615.519,133.361,Final Figures.
National,2001,March,01/03/2001,Non-Ferrous Industrial Metals,Copper,Tons,33754,603468.325,150.788,Final Figures.
National,2001,March,01/03/2001,Non-Ferrous Industrial Metals,Zinc,Tons,37137,389617.34,112.166,Final Figures.
National,2001,March,01/03/2001,Non-Ferrous Industrial Metals,Antimony,Tons,25,0,78.947,Final Figures.
National,2001,March,01/03/2001,Non-Ferrous Industrial Metals,Arsenic,Tons,184,1403.438,430.409,Final Figures.
National,2001,March,01/03/2001,Non-Ferrous Industrial Metals,Bismuth,Tons,120,9686.547,127.208,Final Figures.
National,2001,March,01/03/2001,Non-Ferrous Industrial Metals,Tin,Tons,1,56.301,88,Final Figures.
National,2001,March,01/03/2001,Non-Ferrous Industrial Metals,Cadmium,Tons,97,387.962,78.194,Final Figures.
National,2001,March,01/03/2001,Non-Ferrous Industrial Metals,Molybdenum,Tons,464,21767.854,71.275,Final Figures.
National,2001,March,01/03/2001,Steel Metals and Minerals,Non-Coking Coal,Tons,530696,160429.527,61.219,Final Figures.
National,2001,March,01/03/2001,Steel Metals and Minerals,Coke,Tons,185495,285491.645,143.851,Final Figures.
National,2001,March,01/03/2001,Steel Metals and Minerals,Iron Pellets,Tons,464467,122633.242,72.141,Final Figures.
National,2001,March,01/03/2001,Steel Metals and Minerals,Manganese,Tons,19775,19248.025,139.664,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Sulfur,Tons,71021,48802.396,81.862,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Graphite,Tons,2660,5815.794,441.555,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Barite,Tons,12450,9272.931,106.664,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Dolomite,Tons,61838,12305.663,60.135,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Fluorite,Tons,64380,69150.449,73.045,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Kaolin,Tons,7807,5696.476,110.097,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Silica Sand,Tons,171194,36838.394,73.921,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Gypsum,Tons,291318,36396.667,68.076,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Phosphate Rock,Tons,90205,32942.776,111.698,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Wollastonite,Tons,1113,2171.614,28.512,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Celestite,Tons,14265,7488.269,577.901,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Feldspar,Tons,30089,13391.8,81.044,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Salt,Tons,699448,78331.182,95.285,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Diatomite,Tons,4144,7400.355,38.688,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Sodium Sulfate,Tons,42000,32272.8,81.553,Final Figures.
National,2001,March,01/03/2001,Non-Metallic Minerals,Magnesium Sulfate,Tons,2022,1752.692,56.358,Final Figures.
National,2001,April,01/04/2001,Precious Metals,Gold,Kilograms,2045.7,160742.081,48.748,Final Figures.
National,2001,April,01/04/2001,Precious Metals,Silver,Kilograms,175629,230930.283,78.993,Final Figures.
National,2001,April,01/04/2001,Non-Ferrous Industrial Metals,Lead,Tons,11008,49092.981,131.145,Final Figures.
National,2001,April,01/04/2001,Non-Ferrous Industrial Metals,Copper,Tons,33678,558746.119,150.449,Final Figures.
National,2001,April,01/04/2001,Non-Ferrous Industrial Metals,Zinc,Tons,27277,269628.357,82.386,Final Figures.
National,2001,April,01/04/2001,Non-Ferrous Industrial Metals,Antimony,Tons,8,0,25.263,Final Figures.
National,2001,April,01/04/2001,Non-Ferrous Industrial Metals,Arsenic,Tons,207,1534.33,484.211,Final Figures.
National,2001,April,01/04/2001,Non-Ferrous Industrial Metals,Bismuth,Tons,92,7191.048,97.527,Final Figures.
National,2001,April,01/04/2001,Non-Ferrous Industrial Metals,Tin,Tons,0,12.407,24,Final Figures.
National,2001,April,01/04/2001,Non-Ferrous Industrial Metals,Cadmium,Tons,96,374.262,74.323,Final Figures.
National,2001,April,01/04/2001,Non-Ferrous Industrial Metals,Molybdenum,Tons,509,24184.405,78.187,Final Figures.
National,2001,April,01/04/2001,Steel Metals and Minerals,Non-Coking Coal,Tons,563655,170393.033,65.02,Final Figures.
National,2001,April,01/04/2001,Steel Metals and Minerals,Coke,Tons,179685,272774.408,139.346,Final Figures.
National,2001,April,01/04/2001,Steel Metals and Minerals,Iron Pellets,Tons,484221,111002.922,75.209,Final Figures.
